claim_id,customer_age,gender,occupation,policy_state,policy_type,policy_tenure_months,annual_premium,deductible,num_prior_claims,vehicle_make,vehicle_age,incident_type,incident_severity,incident_hour,incident_weekday,authorities_contacted,witnesses,police_report_filed,days_policy_to_incident,claim_amount,is_fraud
CLM100043,38,M,Student,WB,Third Party,27,21842.68,1000,1,Honda,4,Collision,Total Loss,0,4,None,0.0,1,790,179586.32,0
CLM100044,21,M,Student,WB,Own Damage,3,8235.41,1000,0,Maruti,12,Theft,Minor Damage,13,2,Ambulance,1.0,0,24,11918.57,0
CLM100045,73,F,Retired,KA,Comprehensive,34,20800.69,2500,0,Tata,15,Vandalism,Trivial Damage,12,6,Police,0.0,1,327,3232.52,0
CLM100046,43,M,Salaried,MH,Third Party,26,19410.86,1000,1,Tata,4,Vandalism,Total Loss,18,6,Police,0.0,0,67,162188.35,0
CLM100047,68,F,Self-Employed,GJ,Comprehensive,55,15127.26,1000,0,Honda,11,Collision,Minor Damage,18,6,Fire,1.0,1,1373,17490.66,0
CLM100048,56,M,Professional,TN,Third Party,8,16621.05,2500,0,Maruti,14,Collision,Minor Damage,3,0,None,4.0,1,38,10815.24,0
CLM100049,62,M,Salaried,TN,Comprehensive,28,23805.38,2500,1,Maruti,1,Collision,Minor Damage,8,5,Police,1.0,1,780,40820.05,0
CLM100050,61,F,Student,KA,Third Party,16,12818.69,5000,0,Tata,6,Collision,Minor Damage,21,2,Police,2.0,0,131,10864.86,0
CLM100051,29,M,Salaried,MH,Own Damage,4,10085.05,2500,3,Tata,3,Theft,Total Loss,11,2,Fire,1.0,0,71,350213.15,1
CLM100052,38,M,Self-Employed,MH,Comprehensive,2,19459.58,2500,0,Hyundai,10,Collision,Minor Damage,7,1,None,1.0,1,4,11099.59,0
CLM100053,44,M,Retired,KA,Own Damage,63,18760.05,2500,0,Hyundai,12,Collision,Minor Damage,14,4,Police,0.0,0,762,17173.42,1
CLM100054,46,M,Student,WB,Comprehensive,28,8861.71,2500,0,Mahindra,4,Collision,Minor Damage,7,1,Police,1.0,1,626,16598.95,0
CLM100055,20,M,Self-Employed,MH,Third Party,20,29795.0,2500,1,Toyota,8,Collision,Trivial Damage,12,3,Police,0.0,1,189,12831.89,0
CLM100056,49,M,Student,GJ,Own Damage,5,18246.57,2500,1,Tata,9,Theft,Minor Damage,12,4,Police,2.0,0,131,11242.2,0
CLM100057,26,F,Self-Employed,KA,Third Party,60,11601.62,2500,1,Hyundai,0,Fire,Major Damage,7,5,Ambulance,2.0,0,297,131171.22,0
CLM100058,60,F,Retired,WB,Comprehensive,12,18886.52,1000,0,Tata,8,Collision,Major Damage,20,6,Police,1.0,0,122,58454.19,0
CLM100059,56,M,Student,GJ,Third Party,29,17818.64,5000,1,Honda,6,Collision,Minor Damage,18,1,Fire,3.0,1,734,12194.32,0
CLM100060,70,M,Self-Employed,KA,Third Party,25,13404.67,1000,0,Honda,1,Collision,Trivial Damage,15,6,None,,0,548,19115.37,0
CLM100061,60,F,Salaried,DL,Comprehensive,80,16548.03,5000,0,Kia,10,Natural Calamity,Trivial Damage,15,6,Police,1.0,0,282,6438.79,0
CLM100062,38,M,Self-Employed,WB,Comprehensive,23,16601.97,2500,1,Toyota,0,Natural Calamity,Trivial Damage,5,3,None,1.0,0,345,13734.29,0
CLM100063,73,M,Professional,DL,Comprehensive,15,15859.82,5000,1,Mahindra,7,Vandalism,Major Damage,16,0,Police,1.0,1,306,58682.84,0
CLM100064,41,F,Salaried,MH,Comprehensive,28,15339.65,1000,1,Maruti,4,Vandalism,Trivial Damage,9,1,,1.0,0,678,5617.62,0
CLM100065,36,F,Professional,MH,Comprehensive,30,17901.38,1000,0,Mahindra,11,Theft,Trivial Damage,5,6,Police,2.0,0,314,4425.16,0
CLM100066,69,F,Self-Employed,TN,Comprehensive,118,16808.19,2500,1,Maruti,9,Natural Calamity,Total Loss,19,1,Ambulance,1.0,0,3139,100442.92,0
CLM100067,39,F,Student,WB,Comprehensive,22,12844.48,5000,0,Toyota,2,Collision,Minor Damage,18,6,Other,3.0,0,91,27259.88,0
CLM100068,22,M,Salaried,KA,Own Damage,7,10968.32,1000,1,Tata,10,Collision,Trivial Damage,12,5,Police,0.0,1,21,7259.17,0
CLM100069,44,M,Student,DL,Third Party,17,16513.49,2500,0,Kia,6,Fire,Minor Damage,1,4,Other,0.0,1,275,17432.61,0
CLM100070,63,M,Retired,KA,Comprehensive,28,20731.19,5000,0,Toyota,4,Theft,Minor Damage,9,1,Police,3.0,1,333,42822.34,0
CLM100071,28,F,Salaried,KA,Third Party,32,16261.96,1000,0,Hyundai,3,Vandalism,Major Damage,8,6,Police,1.0,0,543,87560.4,0
CLM100072,44,F,Student,MH,Comprehensive,4,12771.11,1000,1,Honda,4,Collision,Total Loss,10,0,Police,1.0,1,64,195594.09,0
CLM100073,25,F,Salaried,DL,Third Party,15,9333.13,2500,1,Mahindra,7,Collision,Minor Damage,17,4,Ambulance,0.0,1,362,19099.94,0
CLM100074,57,M,Salaried,DL,Comprehensive,77,30273.6,1000,0,Hyundai,3,Collision,Major Damage,12,6,None,0.0,1,1354,130852.43,0
CLM100075,45,M,Professional,DL,Comprehensive,10,18439.35,1000,0,Tata,3,Collision,Minor Damage,12,3,Fire,0.0,1,200,25080.15,0
CLM100076,36,F,Self-Employed,GJ,Own Damage,43,17884.24,1000,1,Toyota,8,Vandalism,Major Damage,1,2,Police,,0,239,55545.58,0
CLM100077,30,F,Self-Employed,WB,Comprehensive,17,13439.2,2500,0,Maruti,12,Collision,Minor Damage,12,4,Police,1.0,1,358,10171.54,0
CLM100078,50,F,Professional,WB,Own Damage,23,9397.64,1000,0,Kia,2,Collision,Minor Damage,14,1,None,0.0,1,246,22341.94,0
CLM100079,56,M,Student,KA,Third Party,5,12504.42,10000,0,Kia,0,Collision,Total Loss,1,6,Police,0.0,0,97,778183.01,0
CLM100080,71,M,Self-Employed,GJ,Comprehensive,19,27943.05,2500,0,Mahindra,11,Natural Calamity,Total Loss,8,5,,1.0,1,499,80377.83,0
CLM100081,42,F,Self-Employed,WB,Comprehensive,28,10389.63,2500,0,Hyundai,15,Vandalism,Minor Damage,20,5,Other,2.0,1,809,5972.01,0
CLM100082,27,M,Student,WB,Comprehensive,23,9088.52,2500,1,Toyota,14,Collision,Major Damage,1,4,Ambulance,0.0,1,39,36526.75,0
CLM100083,65,M,Professional,MH,Comprehensive,20,30068.58,1000,3,Hyundai,1,Collision,Trivial Damage,13,2,None,1.0,1,542,10136.4,0
CLM100084,53,M,Self-Employed,MH,Third Party,35,11658.61,2500,0,Mahindra,11,Theft,Trivial Damage,14,3,Other,2.0,0,523,6124.32,0
CLM100085,57,M,Self-Employed,GJ,Own Damage,7,14532.63,2500,0,Mahindra,11,Vandalism,Trivial Damage,4,1,None,0.0,1,58,5043.97,0
CLM100086,23,M,Retired,MH,Third Party,29,17995.92,10000,0,Toyota,8,Collision,Total Loss,11,4,None,0.0,1,825,116344.41,0
CLM100087,35,M,Self-Employed,WB,Third Party,2,34920.49,5000,0,Toyota,9,Collision,Minor Damage,14,2,Other,3.0,1,14,13056.27,0
CLM100088,61,F,Salaried,KA,Third Party,51,27621.65,1000,0,Toyota,12,Collision,Minor Damage,13,5,Ambulance,1.0,1,1114,8584.46,0
CLM100089,65,F,Student,KA,Comprehensive,20,15184.8,1000,0,Honda,13,Collision,Trivial Damage,20,3,Police,,1,308,8297.6,0
CLM100090,42,F,Retired,KA,Comprehensive,41,12748.65,2500,1,Maruti,3,Collision,Major Damage,7,5,Police,1.0,0,656,40315.18,0
CLM100091,63,M,Salaried,DL,Third Party,1,10709.0,5000,0,Hyundai,14,Collision,Major Damage,11,6,None,0.0,1,27,39354.11,0
CLM100092,65,F,Salaried,MH,Comprehensive,37,18555.17,2500,0,Honda,3,Collision,Minor Damage,13,6,Police,1.0,0,997,51981.35,1
CLM100093,40,M,Professional,GJ,Third Party,12,16301.22,5000,4,Maruti,9,Collision,Minor Damage,0,2,None,0.0,1,258,9401.02,0
CLM100094,69,M,Student,MH,Comprehensive,23,9282.05,5000,0,Hyundai,15,Collision,Trivial Damage,10,3,Ambulance,1.0,1,450,8345.18,0
CLM100095,34,F,Professional,GJ,Own Damage,37,14501.76,5000,0,Honda,4,Natural Calamity,Major Damage,16,0,Other,2.0,1,576,81303.24,0
CLM100096,31,F,Salaried,MH,Own Damage,22,16465.55,1000,1,Maruti,9,Collision,Minor Damage,14,5,Police,0.0,1,52,8721.9,0
CLM100097,56,F,Professional,WB,Comprehensive,34,19249.15,1000,1,Maruti,4,Collision,Minor Damage,12,0,Police,0.0,1,557,24283.33,0
CLM100098,54,M,Salaried,KA,Comprehensive,18,11201.0,1000,0,Tata,10,Natural Calamity,Minor Damage,13,2,,,1,362,8472.25,0
CLM100099,25,M,Salaried,MH,Comprehensive,54,16654.31,2500,1,Hyundai,6,Collision,Minor Damage,19,3,Police,3.0,1,1536,23847.49,0
CLM100100,65,M,Professional,DL,Own Damage,20,10629.64,2500,2,Tata,3,Theft,Major Damage,21,4,None,2.0,0,397,96169.29,0
CLM100101,29,M,Student,TN,Comprehensive,21,18015.25,1000,2,Maruti,6,Collision,Minor Damage,19,6,Police,1.0,1,602,26204.29,1
CLM100102,63,M,Self-Employed,GJ,Third Party,21,14335.04,2500,0,Tata,8,Collision,Trivial Damage,13,4,Police,0.0,0,558,9540.43,0
CLM100103,18,M,Retired,WB,Own Damage,23,36308.53,1000,2,Maruti,13,Vandalism,Trivial Damage,10,1,None,3.0,0,540,8569.79,0
CLM100104,63,M,Student,GJ,Third Party,7,11767.91,1000,1,Mahindra,10,Vandalism,Minor Damage,15,5,Ambulance,1.0,1,194,22089.01,1
CLM100105,62,M,Retired,TN,Comprehensive,10,13145.51,1000,1,Kia,14,Collision,Trivial Damage,0,6,Other,1.0,1,113,4693.6,0
CLM100106,62,F,Professional,KA,Own Damage,45,9373.25,2500,0,Kia,1,Theft,Minor Damage,2,4,None,1.0,1,309,29866.35,0
CLM100107,55,M,Salaried,TN,Own Damage,41,15436.52,5000,2,Hyundai,9,Collision,Minor Damage,5,4,Other,0.0,1,601,14742.27,0
CLM100108,44,F,Salaried,GJ,Comprehensive,39,13712.86,1000,0,Mahindra,14,Fire,Major Damage,4,6,None,0.0,1,727,14167.91,0
CLM100109,58,M,Student,WB,Comprehensive,32,16023.42,5000,1,Kia,4,Collision,Minor Damage,19,0,Fire,3.0,0,152,19126.7,0
CLM100110,33,M,Student,MH,Comprehensive,15,15125.83,2500,1,Kia,2,Theft,Trivial Damage,19,1,Police,0.0,0,175,7518.59,0
CLM100111,62,M,Self-Employed,MH,Comprehensive,14,36658.06,5000,0,Kia,8,Natural Calamity,Minor Damage,3,0,None,0.0,0,98,16174.28,0
CLM100112,49,F,Professional,MH,Third Party,22,18711.38,1000,0,Maruti,2,Collision,Major Damage,12,4,Police,0.0,0,43,111848.62,0
CLM100113,44,F,Professional,MH,Own Damage,50,21356.04,2500,3,Kia,11,Vandalism,Trivial Damage,18,0,Ambulance,0.0,1,845,6462.87,1
CLM100114,46,M,Student,WB,Comprehensive,27,16213.11,2500,1,Maruti,3,Collision,Major Damage,23,5,Police,2.0,0,156,53682.65,0
CLM100115,50,M,Salaried,DL,Comprehensive,9,17210.93,2500,0,Mahindra,15,Collision,Trivial Damage,11,5,Police,2.0,0,239,4910.94,0
CLM100116,20,M,Professional,WB,Third Party,6,15978.5,2500,0,Maruti,7,Collision,Minor Damage,17,5,Other,0.0,1,115,19128.83,0
CLM100117,25,M,Student,KA,Third Party,42,16091.4,1000,0,Honda,5,Collision,Minor Damage,11,5,,2.0,0,272,39187.25,0
CLM100118,31,M,Salaried,TN,Comprehensive,61,12749.34,2500,0,Mahindra,1,Theft,Major Damage,5,3,Police,0.0,1,1588,196540.7,1
CLM100119,24,M,Self-Employed,DL,Comprehensive,4,21116.78,1000,0,Maruti,14,Theft,Minor Damage,16,3,,1.0,1,22,8412.5,0
CLM100120,43,M,Self-Employed,WB,Third Party,43,37866.09,2500,0,Maruti,11,Collision,Minor Damage,1,6,,0.0,1,1187,9921.62,0
CLM100121,56,F,Self-Employed,WB,Comprehensive,31,16198.65,1000,0,Maruti,10,Collision,Minor Damage,8,0,Other,2.0,1,223,11429.68,0
CLM100122,55,F,Professional,GJ,Comprehensive,11,11365.01,2500,1,Mahindra,13,Collision,Trivial Damage,6,1,Police,1.0,1,57,3466.57,0
CLM100123,44,M,Self-Employed,GJ,Comprehensive,27,23297.96,10000,0,Kia,13,Collision,Minor Damage,3,6,Police,1.0,0,344,6822.55,0
CLM100124,66,M,Salaried,WB,Third Party,8,29954.09,2500,1,Kia,12,Collision,Trivial Damage,15,1,Police,1.0,0,218,7279.74,0
CLM100125,50,M,Self-Employed,TN,Comprehensive,19,12987.94,2500,0,Mahindra,13,Collision,Trivial Damage,19,3,Ambulance,2.0,1,110,4335.94,0
CLM100126,22,M,Self-Employed,DL,Own Damage,23,10706.67,2500,0,Honda,5,Collision,Total Loss,4,2,Police,2.0,0,642,363765.33,0
CLM100127,61,M,Student,WB,Comprehensive,54,20145.74,1000,1,Honda,4,Theft,Trivial Damage,0,3,Ambulance,2.0,1,193,6669.44,0
CLM100128,50,F,Self-Employed,DL,Comprehensive,18,16401.74,1000,1,Honda,15,Collision,Minor Damage,11,4,Police,1.0,1,488,6419.89,0
CLM100129,54,M,Salaried,MH,Comprehensive,13,19362.29,1000,0,Toyota,8,Collision,Minor Damage,8,3,Police,1.0,0,147,10052.03,0
CLM100130,50,M,Professional,KA,Third Party,30,15729.17,2500,1,Mahindra,14,Natural Calamity,Trivial Damage,9,6,Fire,1.0,1,591,4898.61,0
CLM100131,49,F,Student,WB,Own Damage,35,14506.28,2500,1,Toyota,2,Collision,Minor Damage,16,3,Ambulance,2.0,1,838,33429.19,0
CLM100132,23,M,Salaried,KA,Third Party,12,11577.74,2500,2,Toyota,6,Collision,Trivial Damage,11,1,Police,1.0,1,143,7114.62,0
CLM100133,49,M,Self-Employed,KA,Third Party,9,18321.28,2500,2,Tata,10,Natural Calamity,Total Loss,9,3,Police,0.0,1,123,38880.63,0
CLM100134,63,F,Professional,DL,Comprehensive,10,10326.47,2500,0,Mahindra,10,Fire,Minor Damage,12,2,Police,0.0,0,138,11875.21,0
CLM100135,35,F,Student,GJ,Comprehensive,54,21078.55,1000,2,Honda,3,Theft,Minor Damage,8,4,Police,2.0,0,1600,23758.17,0
CLM100136,52,F,Salaried,WB,Comprehensive,34,20476.01,5000,0,Tata,15,Fire,Major Damage,12,0,None,1.0,1,256,28338.6,0
CLM100137,19,M,Self-Employed,MH,Comprehensive,17,18032.51,5000,0,Hyundai,3,Collision,Major Damage,23,2,Police,1.0,1,370,129541.72,0
CLM100138,37,M,Student,GJ,Comprehensive,48,26027.48,2500,1,Kia,6,Theft,Trivial Damage,18,5,Police,1.0,0,657,8081.42,0
CLM100139,42,F,Professional,WB,Own Damage,12,14051.17,1000,3,Kia,4,Fire,Major Damage,3,6,None,0.0,0,101,131225.89,1
CLM100140,74,M,Self-Employed,TN,Comprehensive,22,13881.37,5000,0,Honda,4,Fire,Trivial Damage,13,6,None,0.0,1,382,7695.9,0
CLM100141,30,M,Student,MH,Comprehensive,8,13531.56,2500,0,Kia,15,Vandalism,Trivial Damage,5,0,Police,2.0,0,137,6701.22,0
CLM100142,33,F,Salaried,KA,Third Party,47,16703.45,2500,1,Honda,0,Collision,Minor Damage,16,6,Police,0.0,1,1193,31662.48,0
CLM100143,41,M,Salaried,MH,Own Damage,11,14945.39,2500,0,Maruti,8,Vandalism,Major Damage,8,5,Ambulance,0.0,1,247,31376.43,0
CLM100144,74,M,Professional,TN,Comprehensive,12,13377.19,2500,0,Tata,6,Collision,Trivial Damage,9,1,Police,1.0,1,269,10505.06,0
CLM100145,66,M,Retired,DL,Comprehensive,30,13753.9,2500,0,Tata,5,Collision,Minor Damage,14,3,Fire,0.0,0,838,20068.68,0
CLM100146,19,F,Professional,DL,Comprehensive,2,17706.19,1000,0,Honda,3,Collision,Minor Damage,14,0,Fire,1.0,0,39,57341.06,1
CLM100147,31,F,Self-Employed,MH,Own Damage,6,24833.98,2500,0,Tata,7,Collision,Minor Damage,20,0,Police,0.0,1,180,24870.43,0
CLM100148,64,M,Student,WB,Own Damage,38,12655.31,2500,1,Tata,6,Collision,Total Loss,12,2,Police,1.0,0,274,248293.11,0
CLM100149,21,M,Student,DL,Comprehensive,10,8738.35,1000,0,Honda,11,Collision,Minor Damage,22,1,Ambulance,,1,104,16416.42,0
CLM100150,66,F,Retired,TN,Comprehensive,97,19954.9,1000,0,Tata,1,Collision,Minor Damage,11,4,Police,4.0,0,2870,52686.35,0
CLM100151,34,F,Retired,GJ,Own Damage,26,11375.42,2500,0,Tata,8,Collision,Minor Damage,23,2,Police,1.0,0,573,10992.84,0
CLM100152,70,F,Self-Employed,DL,Third Party,4,24801.33,2500,0,Maruti,6,Natural Calamity,Total Loss,11,0,Fire,2.0,1,20,292549.54,0
CLM100153,34,F,Self-Employed,DL,Own Damage,63,21419.82,1000,0,Mahindra,6,Theft,Major Damage,23,5,Police,1.0,0,1189,76752.63,0
CLM100154,42,M,Retired,KA,Third Party,26,22253.54,5000,1,Tata,0,Theft,Trivial Damage,18,2,Ambulance,1.0,1,143,9250.49,0
CLM100155,55,F,Student,GJ,Own Damage,20,16017.36,2500,0,Mahindra,5,Collision,Minor Damage,8,5,Ambulance,1.0,0,336,22591.32,0
CLM100156,25,M,Retired,DL,Comprehensive,26,24211.71,2500,2,Toyota,14,Fire,Major Damage,19,1,None,2.0,0,213,76959.99,0
CLM100157,49,M,Salaried,MH,Own Damage,4,18241.2,2500,2,Honda,7,Collision,Minor Damage,0,4,Police,0.0,1,47,21302.45,1
CLM100158,46,M,Self-Employed,KA,Comprehensive,22,17648.56,2500,1,Tata,4,Natural Calamity,Minor Damage,11,1,None,1.0,1,614,26976.56,0
CLM100159,62,M,Retired,TN,Own Damage,10,16487.22,1000,2,Toyota,2,Fire,Minor Damage,1,6,Police,0.0,0,234,52652.27,1
CLM100160,74,M,,TN,Comprehensive,21,19038.62,1000,0,Toyota,7,Natural Calamity,Minor Damage,4,5,Fire,1.0,1,467,28278.54,0
CLM100161,55,F,Retired,MH,Comprehensive,15,9955.09,5000,0,Toyota,4,Fire,Major Damage,23,4,Other,0.0,1,263,127132.84,0
CLM100162,41,F,Professional,GJ,Third Party,25,13323.91,5000,0,Hyundai,2,Collision,Trivial Damage,6,2,Police,1.0,1,661,6193.6,0
CLM100163,41,M,Salaried,KA,Comprehensive,17,13332.98,1000,0,Maruti,7,Collision,Minor Damage,21,4,Ambulance,1.0,1,86,9955.12,0
CLM100164,41,M,Retired,GJ,Comprehensive,15,15110.37,5000,1,Honda,11,Fire,Major Damage,15,5,,1.0,1,225,22904.89,0
CLM100165,64,M,Self-Employed,WB,Comprehensive,9,11216.89,1000,0,Tata,3,Collision,Trivial Damage,10,5,Police,0.0,1,98,7911.3,0
CLM100166,36,M,Salaried,DL,Third Party,4,12465.7,5000,0,Mahindra,5,Collision,Major Damage,4,6,None,1.0,0,21,37341.77,0
CLM100167,27,M,Self-Employed,WB,Comprehensive,3,10507.35,2500,1,Maruti,12,Collision,Minor Damage,21,3,None,1.0,1,50,13238.36,1
CLM100168,37,F,Professional,WB,Comprehensive,6,12421.04,1000,1,Toyota,0,Theft,Major Damage,22,1,Other,0.0,1,172,143075.51,0
CLM100169,19,F,Salaried,TN,Comprehensive,36,11710.79,1000,0,Honda,1,Collision,Major Damage,7,1,Police,0.0,1,837,161714.04,0
CLM100170,24,M,Salaried,DL,Third Party,9,12332.93,2500,1,Tata,4,Collision,Minor Damage,8,4,None,1.0,0,245,40319.53,0
CLM100171,23,F,Salaried,TN,Third Party,13,21617.92,2500,0,Toyota,12,Collision,Total Loss,16,6,Police,0.0,1,297,162014.03,0
CLM100172,61,F,Professional,DL,Comprehensive,13,15270.99,2500,0,Honda,1,Collision,Minor Damage,8,1,Police,2.0,1,216,37711.3,0
CLM100173,59,M,,WB,Own Damage,16,14357.81,10000,2,Toyota,11,Natural Calamity,Trivial Damage,19,4,Police,1.0,1,186,5056.89,0
CLM100174,57,M,Professional,WB,Comprehensive,32,25933.27,1000,1,Honda,8,Vandalism,Major Damage,10,3,Police,1.0,1,590,73140.63,0
CLM100175,44,F,,DL,Own Damage,17,17803.23,2500,0,Kia,14,Theft,Minor Damage,10,3,None,0.0,0,492,8545.91,0
CLM100176,58,M,Professional,KA,Comprehensive,41,18378.29,2500,1,Maruti,15,Theft,Minor Damage,6,1,Police,2.0,0,899,10418.67,0
CLM100177,27,M,Self-Employed,WB,Comprehensive,7,16510.24,2500,1,Hyundai,7,Fire,Minor Damage,15,5,,0.0,0,193,25172.2,0
CLM100178,69,M,Student,TN,Own Damage,38,21844.45,1000,0,Maruti,11,Collision,Minor Damage,12,5,Police,0.0,1,870,14067.22,0
